"P0001000";"GOK-Root";"Geschichte";"lkl=p?";"History"
"P0787000";"P0782000";"Personen";"lkl=ple 800";"Biographies"
"P0788000";"P0740000";"Geschichte Österreichs im 19. Jahrhundert";"lkl=plh?";"Austria in the 19th Century"
"P0788500";"P0788000";"Nachschlagewerke, Handbücher ";"lkl=plh 000";"Factual Reference Works, Handbooks "
"P0789000";"P0788000";"Quellen";"lkl=plh 1?";"Primary Sources "
"P0790000";"P0788000";"Politische Geschichte, Gesellschaft, Wirtschaft, Kultur";"lkl=plh 200 or lkl=plh 300 or lkl=plh 400 or lkl=plh 500 or lkl=plh 900";"Political History, Society, Economy, Culture"
"P0791000";"P0788000";"Regionalgeschichte";"lkl=plh 600";"Regional Studies"
"P0792000";"P0788000";"Stadt- und Ortsgeschichte";"lkl=plh 700";"Local History"
"P0793000";"P0788000";"Personen";"lkl=plh 800";"Biographies"
"P0794000";"P0740000";"Geschichte Österreichs im 20. Jahrhundert";"lkl=plk?";"Austria in the 20th Century"
"P0794500";"P0794000";"Nachschlagewerke, Handbücher ";"lkl=plk 000";"Factual Reference Works, Handbooks "
"P0795000";"P0794000";"Quellen";"lkl=plk 1?";"Primary Sources "
"P0796000";"P0794000";"Politische Geschichte";"lkl=plk 200 or lkl=plk 900";"Political History"
"P0797000";"P0794000";"Gesellschaft, Wirtschaft, Kultur";"lkl=plk 300 or lkl=plk 400 or lkl=plk 500";"Society, Economy, Culture"
"P0798000";"P0794000";"Regionalgeschichte";"lkl=plk 600";"Regional Studies"
"P0799000";"P0794000";"Stadt- und Ortsgeschichte";"lkl=plk 700";"Local History"
"P0800000";"P0794000";"Personen";"lkl=plk 800";"Biographies"
"P0801000";"P0001000";"Geschichte Ungarns";"lkl=pma? or lkl=pmb? or lkl=pme? or lkl=pmh? or lkl=pmk?";"History of Hungary"
"P0802000";"P0801000";"Nachschlagewerke, Handbücher";"lkl=pma 000";"Factual Reference Works, Handbooks"
"P0803000";"P0801000";"Quellen: übergreifende Sammlungen";"lkl=pma 100";"Primary Sources: comprehensive collections"
"P0804000";"P0801000";"Quellen: Spezialsammlungen";"lkl=pma 150";"Primary Sources: special collections"
"P0805000";"P0801000";"Politische Geschichte";"lkl=pma 200";"Political History"
"P0806000";"P0801000";"Gesellschaft";"lkl=pma 300";"Society"
"P0807000";"P0801000";"Wirtschaft";"lkl=pma 400";"Economy"
"P0808000";"P0801000";"Kultur";"lkl=pma 500";"Culture"
"P0809000";"P0801000";"Regionalgeschichte";"lkl=pma 600";"Regional Studies"
"P0810000";"P0801000";"Stadt- und Ortsgeschichte";"lkl=pma 700";"Local History"
"P0811000";"P0801000";"Einzelbeiträge";"lkl=pma 900";"Miscellaneous"
"P0812000";"P0801000";"Geschichte Ungarns im Mittelalter";"lkl=pmb?";"Hungary in the Middle Ages"
"P0812500";"P0812000";"Nachschlagewerke, Handbücher";"lkl=pmb 000";"Factual Reference Works, Handbooks"
"P0813000";"P0812000";"Quellen: übergreifende Sammlungen";"lkl=pmb 100";"Primary Sources: comprehensive collections"
"P0814000";"P0812000";"Quellen: Spezialsammlungen";"lkl=pmb 150";"Primary Sources: special collections"
"P0815000";"P0812000";"Politische Geschichte";"lkl=pmb 200";"Political History"
"P0816000";"P0812000";"Gesellschaft";"lkl=pmb 300";"Society"
"P0817000";"P0812000";"Wirtschaft";"lkl=pmb 400";"Economy"
"P0818000";"P0812000";"Kultur";"lkl=pmb 500";"Culture"
"P0819000";"P0812000";"Regionalgeschichte";"lkl=pmb 600";"Regional Studies"
"P0820000";"P0812000";"Stadt- und Ortsgeschichte";"lkl=pmb 700";"Local History"
"P0821000";"P0812000";"Personen";"lkl=pmb 800";"Biographies"
"P0822000";"P0812000";"Einzelbeiträge";"lkl=pmb 900";"Miscellaneous"
"P0823000";"P0801000";"Geschichte Ungarns in der Frühen Neuzeit";"lkl=pme?";"Hungary in the Early Modern Period"
"P0823500";"P0823000";"Nachschlagewerke, Handbücher";"lkl=pme 000";"Factual Reference Works, Handbooks"
"P0824000";"P0823000";"Quellen: übergreifende Sammlungen";"lkl=pme 100";"Primary Sources: comprehensive collections"
"P0825000";"P0823000";"Quellen: Spezialsammlungen";"lkl=pme 150";"Primary Sources: special collections"
"P0826000";"P0823000";"Politische Geschichte";"lkl=pme 200";"Political History"
"P0827000";"P0823000";"Gesellschaft";"lkl=pme 300";"Society"
"P0828000";"P0823000";"Wirtschaft";"lkl=pme 400";"Economy"
"P0829000";"P0823000";"Kultur";"lkl=pme 500";"Culture"
"P0830000";"P0823000";"Regionalgeschichte";"lkl=pme 600";"Regional Studies"
"P0831000";"P0823000";"Stadt- und Ortsgeschichte";"lkl=pme 700";"Local History"
"P0832000";"P0823000";"Personen";"lkl=pme 800";"Biographies"
"P0833000";"P0823000";"Einzelbeiträge";"lkl=pme 900";"Miscellaneous"
"P0834000";"P0801000";"Geschichte Ungarns im 19. Jahrhundert";"lkl=pmh?";"Hungary in the 19th Century"
"P0834500";"P0834000";"Nachschlagewerke, Handbücher";"lkl=pmh 000";"Factual Reference Works, Handbooks"
"P0835000";"P0834000";"Quellen: übergreifende Sammlungen";"lkl=pmh 100";"Primary Sources: comprehensive collections"
"P0836000";"P0834000";"Quellen: Spezialsammlungen";"lkl=pmh 150";"Primary Sources: special collections"
"P0837000";"P0834000";"Politische Geschichte";"lkl=pmh 200";"Political History"
"P0838000";"P0834000";"Gesellschaft";"lkl=pmh 300";"Society"
"P0839000";"P0834000";"Wirtschaft";"lkl=pmh 400";"Economy"
"P0840000";"P0834000";"Kultur";"lkl=pmh 500";"Culture"
"P0841000";"P0834000";"Regionalgeschichte";"lkl=pmh 600";"Regional Studies"
"P0842000";"P0834000";"Stadt- und Ortsgeschichte";"lkl=pmh 700";"Local History"
"P0843000";"P0834000";"Personen";"lkl=pmh 800";"Biographies"
"P0844000";"P0834000";"Einzelbeiträge";"lkl=pmh 900";"Miscellaneous"
"P0845000";"P0801000";"Geschichte Ungarns im 20. Jahrhundert";"lkl=pmk?";"Hungary in the 20th Century"
"P0846000";"P0845000";"Quellen: übergreifende Sammlungen";"lkl=pmk 100";"Primary Sources: comprehensive collections"
"P0846500";"P0845000";"Nachschlagewerke, Handbücher";"lkl=pmk 000";"Factual Reference Works, Handbooks"
"P0847000";"P0845000";"Quellen: Spezialsammlungen";"lkl=pmk 150";"Primary Sources: special collections"
"P0848000";"P0845000";"Politische Geschichte";"lkl=pmk 200";"Political History"
"P0849000";"P0845000";"Gesellschaft";"lkl=pmk 300";"Society"
"P0850000";"P0845000";"Wirtschaft";"lkl=pmk 400";"Economy"
"P0851000";"P0845000";"Kultur";"lkl=pmk 500";"Culture"
"P0852000";"P0845000";"Regionalgeschichte";"lkl=pmk 600";"Regional Studies"
"P0853000";"P0845000";"Stadt- und Ortsgeschichte";"lkl=pmk 700";"Local History"
"P0854000";"P0845000";"Personen";"lkl=pmk 800";"Biographies"
"P0855000";"P0845000";"Einzelbeiträge";"lkl=pmk 900";"Miscellaneous"
"P0856000";"P0001000";"Geschichte Tschechiens und der Slowakei";"lkl=pmn? or lkl=pmo? or lkl=pmr? or lkl=pmu? or lkl=pmx?";"History of the Czech Republic and Slovakia"
"P0857000";"P0856000";"Nachschlagewerke, Handbücher";"lkl=pmn 000";"Factual Reference Works, Handbooks"
"P0858000";"P0856000";"Quellen";"lkl=pmn 1?";"Primary Sources "
"P0859000";"P0856000";"Politische Geschichte, Gesellschaft, Wirtschaft, Kultur";"lkl=pmn 200 or lkl=pmn 300 or lkl=pmn 400 or lkl=pmn 500 or lkl=pmn 900";"Political History, Society, Economy, Culture"
"P0860000";"P0856000";"Regionalgeschichte";"lkl=pmn 600";"Regional Studies"
"P0861000";"P0856000";"Stadt- und Ortsgeschichte";"lkl=pmn 700";"Local History"
"P0862000";"P0856000";"Geschichte des böhmischen Raums im Mittelalter";"lkl=pmo?";"History of the Bohemian area in the Middle Ages"
"P0862500";"P0862000";"Nachschlagewerke, Handbücher";"lkl=pmo 000";"Factual Reference Works, Handbooks"
"P0863000";"P0862000";"Quellen";"lkl=pmo 1?";"Primary Sources "
"P0864000";"P0862000";"Politische Geschichte, Gesellschaft, Wirtschaft, Kultur";"lkl=pmo 200 or lkl=pmo 300 or lkl=pmo 400 or lkl=pmo 500 or lkl=pmo 900";"Political History, Society, Economy, Culture"
"P0865000";"P0862000";"Regionalgeschichte";"lkl=pmo 600";"Regional Studies"
"P0866000";"P0862000";"Stadt- und Ortsgeschichte";"lkl=pmo 700";"Local History"
"P0867000";"P0862000";"Personen";"lkl=pmo 800";"Biographies"
"P0868000";"P0856000";"Geschichte des böhmischen Raums in der Frühen Neuzeit";"lkl=pmr?";"History of the Bohemian area in the Early Modern Period"
"P0868500";"P0868000";"Nachschlagewerke, Handbücher";"lkl=pmr 000";"Factual Reference Works, Handbooks"
"P0869000";"P0868000";"Quellen";"lkl=pmr 1?";"Primary Sources "
"P0870000";"P0868000";"Politische Geschichte, Gesellschaft, Wirtschaft, Kultur";"lkl=pmr 200 or lkl=pmr 300 or lkl=pmr 400 or lkl=pmr 500 or lkl=pmr 900";"Political History, Society, Economy, Culture"
"P0871000";"P0868000";"Regionalgeschichte";"lkl=pmr 600";"Regional Studies"
"P0872000";"P0868000";"Stadt- und Ortsgeschichte";"lkl=pmr 700";"Local History"
"P0873000";"P0868000";"Personen";"lkl=pmr 800";"Biographies"
"P0874000";"P0856000";"Geschichte Tschechiens und der Slowakei im 19. Jahrhundert";"lkl=pmu?";"The Czech Republic and Slovakia in the 19th Century"
"P0874500";"P0874000";"Nachschlagewerke, Handbücher";"lkl=pmu 000";"Factual Reference Works, Handbooks"
"P0875000";"P0874000";"Quellen";"lkl=pmu 1?";"Primary Sources "
"P0876000";"P0874000";"Politische Geschichte, Gesellschaft, Wirtschaft, Kultur";"lkl=pmu 200 or lkl=pmu 300 or lkl=pmu 400 or lkl=pmu 500 or lkl=pmu 900";"Political History, Society, Economy, Culture"
"P0877000";"P0874000";"Regionalgeschichte";"lkl=pmu 600";"Regional Studies"
"P0878000";"P0874000";"Stadt- und Ortsgeschichte";"lkl=pmu 700";"Local History"
"P0879000";"P0874000";"Personen";"lkl=pmu 800";"Biographies"
"P0880000";"P0856000";"Geschichte Tschechiens und der Slowakei im 20. Jahrhundert";"lkl=pmx?";"The Czech Republic and Slovakia in the 20th Century"
"P0880500";"P0880000";"Nachschlagewerke, Handbücher";"lkl=pmx 000";"Factual Reference Works, Handbooks"
"P0881000";"P0880000";"Quellen";"lkl=pmx 1?";"Primary Sources "
"P0882000";"P0880000";"Politische Geschichte, Gesellschaft, Wirtschaft, Kultur";"lkl=pmx 200 or lkl=pmx 300 or lkl=pmx 400 or lkl=pmx 500 or lkl=pmx 900";"Political History, Society, Economy, Culture"
"P0883000";"P0880000";"Regionalgeschichte";"lkl=pmx 600";"Regional Studies"
"P0884000";"P0880000";"Stadt- und Ortsgeschichte";"lkl=pmx 700";"Local History"
"P0885000";"P0880000";"Personen";"lkl=pmx 800";"Biographies"
"P0886000";"P0001000";"Geschichte Skandinaviens";"lkl=pn? not (lkl=pns? or lkl=pnu? or lkl=pnv? or lkl=pnw? or lkl=pnx? or lkl=pny? or lkl=pnz?)";"History of Scandinavia"
"P0887000";"P0886000";"Geschichte Skandinaviens: Handbücher, Fachenzyklopädien";"lkl=pn 000";"History of Scandinavia: Factual Reference Works, Handbooks"
"P0888000";"P0886000";"Quellen";"lkl=pn 1?";"Primary Sources "
"P0889000";"P0886000";"Politische Geschichte";"lkl=pn 200 or lkl=pn 300 or lkl=pn 400 or lkl=pn 500 or lkl=pn 900";"Political History"
"P0890000";"P0886000";"Geschichte Dänemarks (inclusive Island und Grönland)";"lkl=pna? or lkl=pnb? or lkl=pnc? or lkl=pnd?";"History of Denmark (including Iceland and Greenland)"
"P0891000";"P0890000";"Nachschlagewerke, Handbücher";"lkl=pna 000";"Factual Reference Works, Handbooks"
"P0892000";"P0890000";"Quellen";"lkl=pna 1?";"Primary Sources "
"P0893000";"P0890000";"Politische Geschichte";"lkl=pna 200 or lkl=pna 300 or lkl=pna 400 or lkl=pna 500 or lkl=pna 900";"Political History"
"P0894000";"P0890000";"Regionalgeschichte";"lkl=pna 600";"Regional Studies"
"P0895000";"P0890000";"Stadt- und Ortsgeschichte";"lkl=pna 700";"Local History"
"P0896000";"P0890000";"Geschichte Dänemarks im Mittelalter (bis 1523)";"lkl=pnb?";"Denmark in the Middle Ages (until 1523)"
"P0896500";"P0896000";"Nachschlagewerke, Handbücher ";"lkl=pnb 000";"Factual Reference Works, Handbooks "
"P0897000";"P0896000";"Quellen";"lkl=pnb 1?";"Primary Sources "
"P0898000";"P0896000";"Politische Geschichte";"lkl=pnb 200 or lkl=pnb 300 or lkl=pnb 400 or lkl=pnb 500 or lkl=pnb 900";"Political History"
"P0899000";"P0896000";"Regionalgeschichte";"lkl=pnb 600";"Regional Studies"
"P0900000";"P0896000";"Stadt- und Ortsgeschichte";"lkl=pnb 700";"Local History"
"P0901000";"P0896000";"Personen";"lkl=pnb 800";"Biographies"
"P0902000";"P0890000";"Geschichte Dänemarks in der Frühen Neuzeit (1523-1814)";"lkl=pnc?";"Denmark in the Early Modern Period (1523-1814)"
"P0902500";"P0902000";"Nachschlagewerke, Handbücher ";"lkl=pnc 000";"Factual Reference Works, Handbooks "
"P0903000";"P0902000";"Quellen";"lkl=pnc 1?";"Primary Sources "
"P0904000";"P0902000";"Politische Geschichte";"lkl=pnc 200 or lkl=pnc 300 or lkl=pnc 400 or lkl=pnc 500 or lkl=pnc 900";"Political History"
"P0905000";"P0902000";"Regionalgeschichte";"lkl=pnc 600";"Regional Studies"
"P0906000";"P0902000";"Stadt- und Ortsgeschichte";"lkl=pnc 700";"Local History"
"P0907000";"P0902000";"Personen";"lkl=pnc 800";"Biographies"
"P0908000";"P0890000";"Geschichte Dänemarks im 19. Jahrhundert und 20. Jahrhundert";"lkl=pnd?";"Denmark in the 19th and 20th Century"
"P0908500";"P0908000";"Nachschlagewerke, Handbücher ";"lkl=pnd 000";"Factual Reference Works, Handbooks "
"P0909000";"P0908000";"Quellen";"lkl=pnd 1?";"Primary Sources "
"P0910000";"P0908000";"Politische Geschichte";"lkl=pnd 200 or lkl=pnd 300 or lkl=pnd 400 or lkl=pnd 500 or lkl=pnd 900";"Political History"
"P0911000";"P0908000";"Regionalgeschichte";"lkl=pnd 600";"Regional Studies"
"P0912000";"P0908000";"Stadt- und Ortsgeschichte";"lkl=pnd 700";"Local History"
"P0913000";"P0908000";"Personen";"lkl=pnd 800";"Biographies"
"P0914000";"P0886000";"Geschichte Norwegens";"lkl=pnf? or lkl=png? or lkl=pnh? or lkl=pni?";"History of Norway"
"P0915000";"P0914000";"Nachschlagewerke, Handbücher";"lkl=pnf 000";"Factual Reference Works, Handbooks"
"P0916000";"P0915000";"Quellen";"lkl=pnf 1?";"Primary Sources "
"P0917000";"P0915000";"Politische Geschichte";"lkl=pnf 200 or lkl=pnf 300 or lkl=pnf 400 or lkl=pnf 500 or lkl=pnf 900";"Political History"
"P0918000";"P0915000";"Regionalgeschichte";"lkl=pnf 600";"Regional Studies"
"P0919000";"P0915000";"Stadt- und Ortsgeschichte";"lkl=pnf 700";"Local History"
"P0920000";"P0914000";"Geschichte Norwegens im Mittelalter (bis 1523)";"lkl=png?";"Norway in the Middle Ages (Until 1523)"
"P0921000";"P0914000";"Geschichte Norwegens in der Frühen Neuzeit (1523-1814)";"lkl=pnh?";"Norway in the Early Modern Period (1523-1814)"
"P0922000";"P0914000";"Geschichte Norwegens im 19. Jahrhundert und 20. Jahrhundert";"lkl=pni?";"Norway in the 19th and 20th Century"
"P0923000";"P0886000";"Geschichte Schwedens";"lkl=pnj? or lkl=pnk? or lkl=pnl? or lkl=pnm?";"History of Sweden"
"P0924000";"P0923000";"Nachschlagewerke, Handbücher";"lkl=pnj 000";"Factual Reference Works, Handbooks"
"P0925000";"P0923000";"Politische Geschichte";"lkl=pnj? not lkl=pnj 000";"Political History"
"P0926000";"P0923000";"Geschichte Schwedens im Mittelalter (bis 1523)";"lkl=pnk 100 or lkl=pnk 150 or lkl=pnk 200 or lkl=pnk 300 or lkl=pnk 400 or lkl=pnk 500 or lkl=pnk 600 or lkl=pnk 700 or lkl=pnk 800 or lkl=pnk 900";"Sweden in the Middle Ages (Until 1523)"
"P0927000";"P0923000";"Geschichte Schwedens in der Frühen Neuzeit (1523-1818)";"lkl=pnl?";"Sweden in the Early Modern Period (1523-1818)"
"P0928000";"P0923000";"Geschichte Schwedens im 19. Jahrhundert und 20. Jahrhundert";"lkl=pnm?";"Sweden in the 19th and 20th Century"
"P0928500";"P0928000";"Nachschlagewerke, Handbücher";"lkl=pnm 000";"Factual Reference Works, Handbooks"
"P0929000";"P0928000";"Quellen";"lkl=pnm 1?";"Primary Sources "
"P0930000";"P0928000";"Politische Geschichte";"lkl=pnm 200 or lkl=pnm 900";"Political History"
"P0931000";"P0928000";"Gesellschaft";"lkl=pnm 300";"Society"
"P0932000";"P0928000";"Wirtschaft";"lkl=pnm 400";"Economy"
"P0933000";"P0928000";"Kultur";"lkl=pnm 500";"Culture"
"P0934000";"P0928000";"Regionalgeschichte";"lkl=pnm 600 or lkl=pnm 700";"Regional Studies"
"P0935000";"P0928000";"Personen";"lkl=pnm 800";"Biographies"
"P0936000";"P0886000";"Geschichte Finnlands";"lkl=pnn? or lkl=pno? or lkl=pnp? or lkl=pnq? or lkl=pnr?";"History of Finland"
"P0937000";"P0936000";"Nachschlagewerke, Handbücher";"lkl=pnn 000";"Factual Reference Works, Handbooks"
"P0938000";"P0936000";"Quellen";"lkl=pnn 100 or lkl=pnn 150";"Primary Sources "
"P0939000";"P0936000";"Politische Geschichte";"lkl=pnn 200";"Political History"
"P0940000";"P0936000";"Gesellschaft";"lkl=pnn 300";"Society"
"P0941000";"P0936000";"Wirtschaft";"lkl=pnn 400";"Economy"
"P0942000";"P0936000";"Kultur";"lkl=pnn 500";"Culture"
"P0943000";"P0936000";"Regionalgeschichte";"lkl=pnn 600";"Regional Studies"
"P0944000";"P0936000";"Stadt- und Ortsgeschichte";"lkl=pnn 700";"Local History"
"P0945000";"P0936000";"Personen";"lkl=pnn 800";"Biographies"
"P0946000";"P0936000";"Einzelbeiträge";"lkl=pnn 900";"Miscellaneous"
"P0947000";"P0936000";"Geschichte Finnlands im Mittelalter";"lkl=pno?";"Finland in the Middle Ages"
"P0947500";"P0947000";"Nachschlagewerke, Handbücher";"lkl=pno 000";"Factual Reference Works, Handbooks"
"P0948000";"P0947000";"Quellen";"lkl=pno 100 or lkl=pno 150";"Primary Sources "
"P0949000";"P0947000";"Politische Geschichte, Gesellschaft, Wirtschaft, Kultur";"lkl=pno 200 or lkl=pno 300 or lkl=pno 400 or lkl=pno 500 or lkl=pno 900";"Political History, Society, Economy, Culture"
"P0950000";"P0947000";"Regionalgeschichte, Stadt- und Ortsgeschichte";"lkl=pno 600 or lkl=pno 700";"Regional Studies, Local History"
"P0951000";"P0947000";"Personen";"lkl=pno 800";"Biographies"
"P0952000";"P0936000";"Geschichte Finnlands in der Frühen Neuzeit";"lkl=pnp?";"Finland in the Early Modern Period"
"P0952500";"P0952000";"Nachschlagewerke, Handbücher";"lkl=pnp 000";"Factual Reference Works, Handbooks"
"P0953000";"P0952000";"Quellen";"lkl=pnp 100 or lkl=pnp 150";"Primary Sources "
"P0954000";"P0952000";"Politische Geschichte, Gesellschaft, Wirtschaft, Kultur";"lkl=pnp 200 or lkl=pnp 300 or lkl=pnp 400 or lkl=pnp 500 or lkl=pnp 900";"Political History, Society, Economy, Culture"
"P0955000";"P0952000";"Regionalgeschichte, Stadt- und Ortsgeschichte";"lkl=pnp 600 or lkl=pnp 700";"Regional Studies, Local History"
"P0956000";"P0952000";"Personen";"lkl=pnp 800";"Biographies"
"P0957000";"P0936000";"Geschichte Finnlands im 19. Jahrhundert";"lkl=pnq?";"Finland in the 19th Century"
"P0957500";"P0957000";"Nachschlagewerke, Handbücher";"lkl=pnq 000";"Factual Reference Works, Handbooks"
"P0958000";"P0957000";"Quellen";"lkl=pnq 100 or lkl=pnq 150";"Primary Sources"
"P0959000";"P0957000";"Politische Geschichte";"lkl=pnq 200 or lkl=pnq 900";"Political History"
"P0960000";"P0957000";"Gesellschaft";"lkl=pnq 300";"Society"
"P0961000";"P0957000";"Wirtschaft";"lkl=pnq 400";"Economy"
"P0962000";"P0957000";"Kultur";"lkl=pnq 500";"Culture"
"P0963000";"P0957000";"Regionalgeschichte";"lkl=pnq 600";"Regional Studies"
"P0964000";"P0957000";"Stadt- und Ortsgeschichte";"lkl=pnq 700";"Local History"
"P0965000";"P0957000";"Personen";"lkl=pnq 800";"Biographies"
"P0966000";"P0936000";"Geschichte Finnlands im 20. Jahrhundert";"lkl=pnr?";"Finland in the 20th Century"
"P0966500";"P0966000";"Nachschlagewerke, Handbücher";"lkl=pnr 000";"Factual Reference Works, Handbooks"
"P0967000";"P0966000";"Quellen";"lkl=pnr 100 or lkl=pnr 150";"Primary Sources "
"P0968000";"P0966000";"Politische Geschichte";"lkl=pnr 200";"Political History"
"P0969000";"P0966000";"Gesellschaft";"lkl=pnr 300";"Society"
"P0970000";"P0966000";"Wirtschaft";"lkl=pnr 400";"Economy"
"P0971000";"P0966000";"Kultur";"lkl=pnr 500";"Culture"
"P0972000";"P0966000";"Regionalgeschichte";"lkl=pnr 600";"Regional Studies"
"P0973000";"P0966000";"Stadt- und Ortsgeschichte";"lkl=pnr 700";"Local History"
"P0974000";"P0966000";"Personen";"lkl=pnr 800";"Biographies"
"P0975000";"P0966000";"Einzelbeiträge";"lkl=pnr 900";"Miscellaneous"
"P0976000";"P0001000";"Geschichte der Beneluxländer";"lkl=pns? or lkl=pnu? or lkl=pnv? or lkl=pnw? or lkl=pnx? or lkl=pny? or lkl=pnz?";"History of the Low Countries"
"P0977000";"P0976000";"Nachschlagewerke, Handbücher";"lkl=pns 000";"Factual Reference Works, Handbooks"
"P0978000";"P0976000";"Politische Geschichte";"lkl=pns 100 or lkl=pns 150 or lkl=pns 200 or lkl=pns 300 or lkl=pns 400 or lkl=pns 500 or lkl=pns 900";"Political History"
"P0979000";"P0976000";"Regionalgeschichte, Stadt- und Ortsgeschichte";"lkl=pns 600 or lkl=pns 700";"Regional Studies, Local History"
"P0980000";"P0976000";"Geschichte des niederländischen Raumes im Mittelalter";"lkl=pnt?";"History of the Dutch area in the Middle Ages"
"P0981000";"P0976000";"Geschichte des niederländischen Raumes in der Frühen Neuzeit";"lkl=pnu?";"History of the Dutch area in the Early Modern Period"
"P0981500";"P0981000";"Nachschlagewerke, Handbücher";"lkl=pnu 000";"Factual Reference Works, Handbooks"
"P0982000";"P0981000";"Quellen";"lkl=pnu 1?";"Primary Sources "
"P0983000";"P0981000";"Politische Geschichte";"lkl=pnu 200 or lkl=pnu 900";"Political History"
