MSC;Root;MSC;(msc=0? or msc=1? or msc=2? or msc=3? or msc=4? or msc=5? or msc=6? or msc=7? or msc=8? or msc=9?)
78M30;78MXX;Variational methods;msc=78M30
78M35;78MXX;Asymptotic analysis;msc=78M35
78M40;78MXX;Homogenization;msc=78M40
78M50;78MXX;Optimization;msc=78M50
78M99;78MXX;None of the above, but in this section;msc=78M99
80-XX;7XXXX;Classical thermodynamics, heat transfer;msc=80?
80-00;80-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=80-00
80-01;80-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=80-01
80-02;80-XX;Research exposition (monographs, survey articles);msc=80-02
80-03;80-XX;Historical;msc=80-03
80-04;80-XX;Explicit machine computation and programs;msc=80-04
80-05;80-XX;Experimental work;msc=80-05
80-06;80-XX;Proceedings, conferences, collections, etc.;msc=80-06
80AXX;80-XX;Thermodynamics and heat transfer;msc=80A?
80A05;80AXX;Foundations;msc=80A05
80A10;80AXX;Classical thermodynamics, including relativistic;msc=80A10
80A17;80AXX;Thermodynamics of continua;msc=80A17
80A20;80AXX;Heat and mass transfer, heat flow;msc=80A20
80A22;80AXX;Stefan problems, phase changes, etc.;msc=80A22
80A23;80AXX;Inverse problems;msc=80A23
80A25;80AXX;Combustion;msc=80A25
80A30;80AXX;Chemical kinetics;msc=80A30
80A32;80AXX;Chemically reacting flows;msc=80A32
80A50;80AXX;Chemistry (general);msc=80A50
80A99;80AXX;None of the above, but in this section;msc=80A99
80MXX;80-XX;Basic methods;msc=80M?
80M10;80MXX;Finite element methods;msc=80M10
80M15;80MXX;Boundary element methods;msc=80M15
80M20;80MXX;Finite difference methods;msc=80M20
80M25;80MXX;Other numerical methods;msc=80M25
80M30;80MXX;Variational methods;msc=80M30
80M35;80MXX;Asymptotic analysis;msc=80M35
80M40;80MXX;Homogenization;msc=80M40
80M50;80MXX;Optimization;msc=80M50
80M99;80MXX;None of the above, but in this section;msc=80M99
81-XX;7XXXX;Quantum theory;msc=81?
81-00;81-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=81-00
81-01;81-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=81-01
81-02;81-XX;Research exposition (monographs, survey articles);msc=81-02
81-03;81-XX;Historical;msc=81-03
81-04;81-XX;Explicit machine computation and programs;msc=81-04
81-05;81-XX;Experimental papers;msc=81-05
81-06;81-XX;Proceedings, conferences, collections, etc.;msc=81-06
81-08;81-XX;Computational methods;msc=81-08
81P00;81-XX;Axiomatics, foundations, philosophy;msc=81P00
81P05;81P00;General and philosophical;msc=81P05
81P10;81P00;"Logical foundations of quantum mechanics; quantum logic";msc=81P10
81P15;81P00;Quantum measurement theory;msc=81P15
81P20;81P00;Stochastic mechanics (including stochastic electrodynamics);msc=81P20
81P68;81P00;Quantum computation and quantum cryptography;msc=81P68
81P99;81P00;None of the above, but in this section;msc=81P99
81QXX;81-XX;General mathematical topics and methods in quantum theory;msc=81Q?
81Q05;81QXX;Closed and approximate solutions to the Schrödinger, Dirac, Klein-Gordon and other quantum-mechanical equations;msc=81Q05
81Q10;81QXX;Selfadjoint operator theory in quantum theory, including spectral analysis;msc=81Q10
81Q15;81QXX;Perturbation theories for operators and differential equations;msc=81Q15
81Q20;81QXX;Semiclassical techniques including WKB and Maslov methods;msc=81Q20
81Q30;81QXX;"Feynman integrals and graphs; applications of algebraic topology and algebraic geometry";msc=81Q30
81Q40;81QXX;Bethe-Salpeter and other integral equations;msc=81Q40
81Q50;81QXX;Quantum chaos;msc=81Q50
81Q60;81QXX;Supersymmetric quantum mechanics;msc=81Q60
81Q70;81QXX;Differential-geometric methods, including holonomy, Berry and Hannay phases, etc.;msc=81Q70
81Q99;81QXX;None of the above, but in this section;msc=81Q99
81RXX;81-XX;Groups and algebras in quantum theory;msc=81R?
81R05;81RXX;Finite-dimensional groups and algebras motivated by physics and their representations;msc=81R05
81R10;81RXX;Infinite-dimensional groups and algebras motivated by physics, including Virasoro, Kac-Moody, W-algebras and other current algebras and their representations;msc=81R10
81R12;81RXX;Relations with integrable systems;msc=81R12
81R15;81RXX;Operator algebra methods;msc=81R15
81R20;81RXX;Covariant wave equations;msc=81R20
81R25;81RXX;Spinor and twistor methods;msc=81R25
81R30;81RXX;Coherent states;msc=81R30
81R40;81RXX;Symmetry breaking;msc=81R40
81R50;81RXX;Quantum groups and related algebraic methods;msc=81R50
81R60;81RXX;Noncommutative geometry;msc=81R60
81R99;81RXX;None of the above, but in this section;msc=81R99
81SXX;81-XX;General quantum mechanics and problems of quantization;msc=81S?
81S05;81SXX;Commutation relations and statistics;msc=81S05
81S10;81SXX;Geometry and quantization, symplectic methods;msc=81S10
81S20;81SXX;Stochastic quantization;msc=81S20
81S25;81SXX;Quantum stochastic calculus;msc=81S25
81S30;81SXX;Phase space methods including Wigner distributions, etc.;msc=81S30
81S40;81SXX;Path integrals;msc=81S40
81S99;81SXX;None of the above, but in this section;msc=81S99
81TXX;81-XX;"Quantum field theory; related classical field theories";msc=81T?
81T05;81TXX;"Axiomatic quantum field theory; operator algebras";msc=81T05
81T08;81TXX;Constructive quantum field theory;msc=81T08
81T10;81TXX;Model quantum field theories;msc=81T10
81T13;81TXX;Yang-Mills and other gauge theories;msc=81T13
81T15;81TXX;Perturbative methods of renormalization;msc=81T15
81T16;81TXX;Nonperturbative methods of renormalization;msc=81T16
81T17;81TXX;Renormalization group methods;msc=81T17
81T18;81TXX;Feynman diagrams;msc=81T18
81T20;81TXX;Quantum field theory on curved space backgrounds;msc=81T20
81T25;81TXX;Quantum field theory on lattices;msc=81T25
81T27;81TXX;Continuum limits;msc=81T27
81T30;81TXX;"String and superstring theories; other extended objects (e.g., branes)";msc=81T30
81T40;81TXX;Two-dimensional field theories, conformal field theories, etc.;msc=81T40
81T45;81TXX;Topological field theories;msc=81T45
81T50;81TXX;Anomalies;msc=81T50
81T60;81TXX;Supersymmetric field theories;msc=81T60
81T70;81TXX;"Quantization in field theory; cohomological methods";msc=81T70
81T75;81TXX;Noncommutative geometry methods;msc=81T75
81T80;81TXX;Simulation and numerical modeling;msc=81T80
81T99;81TXX;None of the above, but in this section;msc=81T99
81UXX;81-XX;Scattering theory;msc=81U?
81U05;81UXX;2-body potential scattering theory;msc=81U05
81U10;81UXX;n-body potential scattering theory;msc=81U10
81U15;81UXX;Exactly and quasi-solvable systems;msc=81U15
81U20;81UXX;S-matrix theory, etc.;msc=81U20
81U30;81UXX;Dispersion theory, dispersion relations;msc=81U30
81U40;81UXX;Inverse scattering problems;msc=81U40
81U99;81UXX;None of the above, but in this section;msc=81U99
81VXX;81-XX;Applications to specific physical systems;msc=81V?
81V05;81VXX;Strong interaction, including quantum chromodynamics;msc=81V05
81V10;81VXX;"Electromagnetic interaction; quantum electrodynamics";msc=81V10
81V15;81VXX;Weak interaction;msc=81V15
81V17;81VXX;Gravitational interaction;msc=81V17
81V19;81VXX;Other fundamental interactions;msc=81V19
81V22;81VXX;Unified theories;msc=81V22
81V25;81VXX;Other elementary particle theory;msc=81V25
81V35;81VXX;Nuclear physics;msc=81V35
81V45;81VXX;Atomic physics;msc=81V45
81V55;81VXX;Molecular physics;msc=81V55
81V70;81VXX;"Many-body theory; quantum Hall effect";msc=81V70
81V80;81VXX;Quantum optics;msc=81V80
81V99;81VXX;None of the above, but in this section;msc=81V99
82-XX;7XXXX;Statistical mechanics, structure of matter;msc=82?
82-00;82-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=82-00
82-01;82-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=82-01
82-02;82-XX;Research exposition (monographs, survey articles);msc=82-02
82-03;82-XX;Historical;msc=82-03
82-04;82-XX;Explicit machine computation and programs;msc=82-04
82-05;82-XX;Experimental papers;msc=82-05
82-06;82-XX;Proceedings, conferences, collections, etc.;msc=82-06
82-08;82-XX;Computational methods;msc=82-08
82BXX;82-XX;Equilibrium statistical mechanics;msc=82B?
82B03;82BXX;Foundations;msc=82B03
82B05;82BXX;Classical equilibrium statistical mechanics (general);msc=82B05
82B10;82BXX;Quantum equilibrium statistical mechanics (general);msc=82B10
82B20;82BXX;Lattice systems (Ising, dimer, Potts, etc.) and systems on graphs;msc=82B20
82B21;82BXX;Continuum models (systems of particles, etc.);msc=82B21
82B23;82BXX;"Exactly solvable models; Bethe ansatz";msc=82B23
82B24;82BXX;"Interface problems; diffusion-limited aggregation";msc=82B24
82B26;82BXX;Phase transitions (general);msc=82B26
82B27;82BXX;Critical phenomena;msc=82B27
82B28;82BXX;Renormalization group methods;msc=82B28
82B30;82BXX;Statistical thermodynamics;msc=82B30
82B31;82BXX;Stochastic methods;msc=82B31
82B35;82BXX;Irreversible thermodynamics, including Onsager-Machlup theory;msc=82B35
82B40;82BXX;Kinetic theory of gases;msc=82B40
82B41;82BXX;Random walks, random surfaces, lattice animals, etc.;msc=82B41
82B43;82BXX;Percolation;msc=82B43
82B44;82BXX;Disordered systems (random Ising models, random Schrödinger operators, etc.);msc=82B44
82B80;82BXX;Numerical methods (Monte Carlo, series resummation, etc.);msc=82B80
82B99;82BXX;None of the above, but in this section;msc=82B99
82CXX;82-XX;Time-dependent statistical mechanics (dynamic and nonequilibrium);msc=82C?
82C03;82CXX;Foundations;msc=82C03
82C05;82CXX;Classical dynamic and nonequilibrium statistical mechanics (general);msc=82C05
82C10;82CXX;Quantum dynamics and nonequilibrium statistical mechanics (general);msc=82C10
82C20;82CXX;Dynamic lattice systems (kinetic Ising, etc.) and systems on graphs;msc=82C20
82C21;82CXX;Dynamic continuum models (systems of particles, etc.);msc=82C21
82C22;82CXX;Interacting particle systems;msc=82C22
82C23;82CXX;Exactly solvable dynamic models;msc=82C23
82C24;82CXX;"Interface problems; diffusion-limited aggregation";msc=82C24
82C26;82CXX;Dynamic and nonequilibrium phase transitions (general);msc=82C26
82C27;82CXX;Dynamic critical phenomena;msc=82C27
82C28;82CXX;Dynamic renormalization group methods;msc=82C28
82C31;82CXX;Stochastic methods (Fokker-Planck, Langevin, etc.);msc=82C31
82C32;82CXX;Neural nets;msc=82C32
82C35;82CXX;Irreversible thermodynamics, including Onsager-Machlup theory;msc=82C35
82C40;82CXX;Kinetic theory of gases;msc=82C40
82C41;82CXX;Dynamics of random walks, random surfaces, lattice animals, etc.;msc=82C41
82C43;82CXX;Time-dependent percolation;msc=82C43
82C44;82CXX;Dynamics of disordered systems (random Ising systems, etc.);msc=82C44
82C70;82CXX;Transport processes;msc=82C70
82C80;82CXX;Numerical methods (Monte Carlo, series resummation, etc.);msc=82C80
82C99;82CXX;None of the above, but in this section;msc=82C99
82DXX;82-XX;Applications to specific types of physical systems;msc=82D?
82D05;82DXX;Gases;msc=82D05
82D10;82DXX;Plasmas;msc=82D10
82D15;82DXX;Liquids;msc=82D15
82D20;82DXX;Solids;msc=82D20
82D25;82DXX;Crystals;msc=82D25
82D30;82DXX;Random media, disordered materials (including liquid crystals and spin glasses);msc=82D30
82D35;82DXX;Metals;msc=82D35
82D37;82DXX;Semiconductors;msc=82D37
82D40;82DXX;Magnetic materials;msc=82D40
82D45;82DXX;Ferroelectrics;msc=82D45
82D50;82DXX;Superfluids;msc=82D50
82D55;82DXX;Superconductors;msc=82D55
82D60;82DXX;Polymers;msc=82D60
82D75;82DXX;"Nuclear reactor theory; neutron transport";msc=82D75
82D99;82DXX;None of the above, but in this section;msc=82D99
83-XX;7XXXX;Relativity and gravitational theory;msc=83?
83-00;83-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=83-00
83-01;83-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=83-01
83-02;83-XX;Research exposition (monographs, survey articles);msc=83-02
83-03;83-XX;Historical;msc=83-03
83-04;83-XX;Explicit machine computation and programs;msc=83-04
83-05;83-XX;Experimental work;msc=83-05
83-06;83-XX;Proceedings, conferences, collections, etc.;msc=83-06
83-08;83-XX;Computational methods;msc=83-08
83A05;83-XX;Special relativity;msc=83A05
83B05;83-XX;Observational and experimental questions;msc=83B05
83CXX;83-XX;General relativity;msc=83C?
83C05;83CXX;Einstein's equations (general structure, canonical formalism, Cauchy problems);msc=83C05
83C10;83CXX;Equations of motion;msc=83C10
83C15;83CXX;Exact solutions;msc=83C15
83C20;83CXX;"Classes of solutions; algebraically special solutions, metrics with symmetries";msc=83C20
83C22;83CXX;Einstein-Maxwell equations;msc=83C22
83C25;83CXX;Approximation procedures, weak fields;msc=83C25
83C27;83CXX;Lattice gravity, Regge calculus and other discrete methods;msc=83C27
83C30;83CXX;Asymptotic procedures (radiation, news functions,;msc=83C30
83C35;83CXX;Gravitational waves;msc=83C35
83C40;83CXX;"Gravitational energy and conservation laws; groups of motions";msc=83C40
83C45;83CXX;Quantization of the gravitational field;msc=83C45
83C47;83CXX;Methods of quantum field theory;msc=83C47
83C50;83CXX;Electromagnetic fields;msc=83C50
83C55;83CXX;Macroscopic interaction of the gravitational field with matter (hydrodynamics, etc.);msc=83C55
83C57;83CXX;Black holes;msc=83C57
83C60;83CXX;"Spinor and twistor methods; Newman-Penrose formalism";msc=83C60
83C65;83CXX;Methods of noncommutative geometry;msc=83C65
83C75;83CXX;Space-time singularities, cosmic censorship, etc.;msc=83C75
83C80;83CXX;Analogues in lower dimensions;msc=83C80
83C99;83CXX;None of the above, but in this section;msc=83C99
83D05;83-XX;Relativistic gravitational theories other than Einstein's, including asymmetric field theories;msc=83D05
83EXX;83-XX;Unified, higher-dimensional and super field theories;msc=83E?
83E05;83EXX;Geometrodynamics;msc=83E05
83E15;83EXX;Kaluza-Klein and other higher-dimensional theories;msc=83E15
83E30;83EXX;String and superstring theories;msc=83E30
83E50;83EXX;Supergravity;msc=83E50
83E99;83EXX;None of the above, but in this section;msc=83E99
83F05;83-XX;Cosmology;msc=83F05
85-XX;7XXXX;Astronomy and astrophysics;msc=85?
85-00;85-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=85-00
85-01;85-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=85-01
85-02;85-XX;Research exposition (monographs, survey articles);msc=85-02
85-03;85-XX;Historical;msc=85-03
85-04;85-XX;Explicit machine computation and programs;msc=85-04
85-05;85-XX;Experimental work;msc=85-05
85-06;85-XX;Proceedings, conferences, collections, etc.;msc=85-06
85-08;85-XX;Computational methods;msc=85-08
85A04;85-XX;General;msc=85A04
85A05;85-XX;Galactic and stellar dynamics;msc=85A05
85A15;85-XX;Galactic and stellar structure;msc=85A15
85A20;85-XX;Planetary atmospheres;msc=85A20
85A25;85-XX;Radiative transfer;msc=85A25
85A30;85-XX;Hydrodynamic and hydromagnetic problems;msc=85A30
85A35;85-XX;Statistical astronomy;msc=85A35
85A40;85-XX;Cosmology;msc=85A40
85A99;85-XX;Miscellaneous topics;msc=85A99
86-XX;7XXXX;Geophysics;msc=86?
86-00;86-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=86-00
86-01;86-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=86-01
86-02;86-XX;Research exposition (monographs, survey articles);msc=86-02
86-03;86-XX;Historical;msc=86-03
86-04;86-XX;Explicit machine computation and programs;msc=86-04
86-05;86-XX;Experimental work;msc=86-05
86-06;86-XX;Proceedings, conferences, collections, etc.;msc=86-06
86-08;86-XX;Computational methods;msc=86-08
86A04;86-XX;General;msc=86A04
86A05;86-XX;Hydrology, hydrography, oceanography;msc=86A05
86A10;86-XX;Meteorology and atmospheric physics;msc=86A10
86A15;86-XX;Seismology;msc=86A15
86A17;86-XX;Global dynamics, earthquake problems;msc=86A17
86A20;86-XX;Potentials, prospecting;msc=86A20
86A22;86-XX;Inverse problems;msc=86A22
86A25;86-XX;Geo-electricity and geomagnetism;msc=86A25
86A30;86-XX;Geodesy, mapping problems;msc=86A30
86A32;86-XX;Geostatistics;msc=86A32
86A40;86-XX;Glaciology;msc=86A40
86A60;86-XX;Geological problems;msc=86A60
86A99;86-XX;Miscellaneous topics;msc=86A99
90-XX;7XXXX;Operations research, mathematical programming;msc=90?
90-00;90-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=90-00
90-01;90-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=90-01
90-02;90-XX;Research exposition (monographs, survey articles);msc=90-02
90-03;90-XX;Historical;msc=90-03
90-04;90-XX;Explicit machine computation and programs;msc=90-04
90-06;90-XX;Proceedings, conferences, collections, etc.;msc=90-06
90-08;90-XX;Computational methods;msc=90-08
90BXX;90-XX;Operations research and management science;msc=90B?
90B05;90BXX;Inventory, storage, reservoirs;msc=90B05
90B06;90BXX;Transportation, logistics;msc=90B06
90B10;90BXX;Network models, deterministic;msc=90B10
90B15;90BXX;Network models, stochastic;msc=90B15
90B18;90BXX;Communication networks;msc=90B18
90B20;90BXX;Traffic problems;msc=90B20
90B22;90BXX;Queues and service;msc=90B22
90B25;90BXX;Reliability, availability, maintenance, inspection;msc=90B25
90B30;90BXX;Production models;msc=90B30
90B35;90BXX;Scheduling theory, deterministic;msc=90B35
90B36;90BXX;Scheduling theory, stochastic;msc=90B36
90B40;90BXX;Search theory;msc=90B40
90B50;90BXX;Management decision making, including multiple objectives;msc=90B50
90B60;90BXX;Marketing, advertising;msc=90B60
90B70;90BXX;Theory of organizations, manpower planning;msc=90B70
90B80;90BXX;Discrete location and assignment;msc=90B80
90B85;90BXX;Continuous location;msc=90B85
90B90;90BXX;Case-oriented studies;msc=90B90
90B99;90BXX;None of the above, but in this section;msc=90B99
90CXX;90-XX;Mathematical programming;msc=90C?
90C05;90CXX;Linear programming;msc=90C05
90C06;90CXX;Large-scale problems;msc=90C06
90C08;90CXX;Special problems of linear programming (transportation, multi-index, etc.);msc=90C08
90C09;90CXX;Boolean programming;msc=90C09
90C10;90CXX;Integer programming;msc=90C10
90C11;90CXX;Mixed integer programming;msc=90C11
90C15;90CXX;Stochastic programming;msc=90C15
90C20;90CXX;Quadratic programming;msc=90C20
90C22;90CXX;Semidefinite programming;msc=90C22
90C25;90CXX;Convex programming;msc=90C25
90C26;90CXX;Nonconvex programming;msc=90C26
